id,model,patrimony,description,created,modified,assetType_id,equipment_id,manufacturer_id,criticalness_id
30,CÂMERA - Câmera Hillo 1,,CÂMERA - Câmera Hillo 1 - RECEPÇÃO DE CANA,2017-01-01 00:00:00.000029,2017-01-01 00:00:00.000029,7,180,1,1
31,CÂMERA - Câmera Esteira 11º,,CÂMERA - Câmera Esteira 11º - RECEPÇÃO DE CANA,2017-01-01 00:00:00.000030,2017-01-01 00:00:00.000030,7,134,1,1
32,CÂMERA - Câmera Esteira 45º,,CÂMERA - Câmera Esteira 45º - RECEPÇÃO DE CANA,2017-01-01 00:00:00.000031,2017-01-01 00:00:00.000031,7,135,1,1
33,CÂMERA - Câmera Esteira 45º,,CÂMERA - Câmera Esteira 45º - RECEPÇÃO DE CANA,2017-01-01 00:00:00.000032,2017-01-01 00:00:00.000032,7,135,1,1
34,CÂMERA - Câmera Esteira da Frente da 45º,,CÂMERA - Câmera Esteira da Frente da 45º - RECEPÇÃO DE CANA,2017-01-01 00:00:00.000033,2017-01-01 00:00:00.000033,7,135,1,1
35,CÂMERA - Câmera Esteira Metálica 1 Colchão de cana inteira,,CÂMERA - Câmera Esteira Metálica 1 Colchão de cana inteira - RECEPÇÃO DE CANA,2017-01-01 00:00:00.000034,2017-01-01 00:00:00.000034,7,131,1,1
36,CÂMERA - Câmera Esteira Metálica 1 Colchão de cana Picada,,CÂMERA - Câmera Esteira Metálica 1 Colchão de cana Picada - RECEPÇÃO DE CANA,2017-01-01 00:00:00.000035,2017-01-01 00:00:00.000035,7,131,1,1
37,CÂMERA - Câmera Esteira de borracha,,CÂMERA - Câmera Esteira de borracha - RECEPÇÃO DE CANA,2017-01-01 00:00:00.000036,2017-01-01 00:00:00.000036,7,149,1,1
38,CÂMERA - Câmera Saida de Bagaço 4° Terno,,CÂMERA - Câmera Saida de Bagaço 4° Terno - RECEPÇÃO DE CANA,2017-01-01 00:00:00.000037,2017-01-01 00:00:00.000037,7,124,1,1
39,DVR - DVR Câmeras Hillo 2 Sistema de Cana Picada,,DVR - DVR Câmeras Hillo 2 Sistema de Cana Picada - RECEPÇÃO DE CANA,2017-01-01 00:00:00.000038,2017-01-01 00:00:00.000038,10,124,1,1
40,DVR - DVR Câmeras Hillo 1 Mesa 45º,,DVR - DVR Câmeras Hillo 1 Mesa 45º - RECEPÇÃO DE CANA,2017-01-01 00:00:00.000039,2017-01-01 00:00:00.000039,10,124,1,1
41,CONVERSOR FIBRA - Conversor de Fibra Óptica Sistema de Câmera do Hillo 2,,CONVERSOR FIBRA - Conversor de Fibra Óptica Sistema de Câmera do Hillo 2 - RECEPÇÃO DE CANA,2017-01-01 00:00:00.000040,2017-01-01 00:00:00.000040,5,124,1,1
42,COMPUTADOR - Computador do Sistema de Câmera do Hillo 2,,COMPUTADOR - Computador do Sistema de Câmera do Hillo 2 - RECEPÇÃO DE CANA,2017-01-01 00:00:00.000041,2017-01-01 00:00:00.000041,8,124,1,1
43,MONITOR - Monitor do Sistema de Câmeras do Hillo 2,,MONITOR - Monitor do Sistema de Câmeras do Hillo 2 - RECEPÇÃO DE CANA,2017-01-01 00:00:00.000042,2017-01-01 00:00:00.000042,37,124,1,1
44,MONITOR - Monitor Sistema de Câmeras do Hillo 1 e Mesa 45º,,MONITOR - Monitor Sistema de Câmeras do Hillo 1 e Mesa 45º - RECEPÇÃO DE CANA,2017-01-01 00:00:00.000043,2017-01-01 00:00:00.000043,37,124,1,1
45,TRANSMISSOR DE VAZÃO - Transmissor ultra-sônico do amostrador da lavagem de cana da moenda ,,TRANSMISSOR DE VAZÃO - Transmissor ultra-sônico do amostrador da lavagem de cana da moenda  - MOENDA,2017-01-01 00:00:00.000044,2017-01-01 00:00:00.000044,13,187,1,1
46,TRANSMISSOR TOTALIZADOR - controlador DMY-2030-TOT-LIGHY lavagem de cana da moenda,,TRANSMISSOR TOTALIZADOR - controlador DMY-2030-TOT-LIGHY lavagem de cana da moenda - MOENDA,2017-01-01 00:00:00.000045,2017-01-01 00:00:00.000045,17,187,1,1
47,BOMBA PNEUMATICA - Bomba de coleta da saida da lavagem de cana da moenda,,BOMBA PNEUMATICA - Bomba de coleta da saida da lavagem de cana da moenda - MOENDA,2017-01-01 00:00:00.000046,2017-01-01 00:00:00.000046,29,187,1,1
48,CALHA DE VAZÃO - Calha parshal da saida de lagem da cana da moenda,,CALHA DE VAZÃO - Calha parshal da saida de lagem da cana da moenda - MOENDA,2017-01-01 00:00:00.000047,2017-01-01 00:00:00.000047,15,187,1,1
49,"VALVULA SOLENOIDE - Entrada da lavagem de cana cojunto válvula solenoide, atuador e válvula esfera 3 vias. ",,"VALVULA SOLENOIDE - Entrada da lavagem de cana cojunto válvula solenoide, atuador e válvula esfera 3 vias.  - MOENDA",2017-01-01 00:00:00.000048,2017-01-01 00:00:00.000048,39,188,1,1
50,TRANSMISSOR DE VAZÃO - Transmissor de Vazão de água do multijato (SMAR LD 301),,TRANSMISSOR DE VAZÃO - Transmissor de Vazão de água do multijato (SMAR LD 301) - MOENDA,2017-01-01 00:00:00.000049,2017-01-01 00:00:00.000049,13,363,1,1
51,"VALVULA SOLENOIDE - Entrada de água do múltijato cojunto válvula solenoide, atuador e válvula esfera 3 vias. ",,"VALVULA SOLENOIDE - Entrada de água do múltijato cojunto válvula solenoide, atuador e válvula esfera 3 vias.  - MOENDA",2017-01-01 00:00:00.000050,2017-01-01 00:00:00.000050,39,363,1,1
52,TRANSMISSOR TOTALIZADOR - controlador DMY-2030-TOT-LIGHY do múltijato,,TRANSMISSOR TOTALIZADOR - controlador DMY-2030-TOT-LIGHY do múltijato - MOENDA,2017-01-01 00:00:00.000051,2017-01-01 00:00:00.000051,17,363,1,1
53,"VALVULA SOLENOIDE - Saida de água do múltijato cojunto válvula solenoide, atuador e válvula esfera 3 vias. ",,"VALVULA SOLENOIDE - Saida de água do múltijato cojunto válvula solenoide, atuador e válvula esfera 3 vias.  - MOENDA",2017-01-01 00:00:00.000052,2017-01-01 00:00:00.000052,39,363,1,1
54,TRANSMISSOR DE VAZÃO - Transmissor ultra-sônico do amostrador do efluente final,,TRANSMISSOR DE VAZÃO - Transmissor ultra-sônico do amostrador do efluente final - MOENDA,2017-01-01 00:00:00.000053,2017-01-01 00:00:00.000053,13,185,1,1
55,TRANSMISSOR TOTALIZADOR - controlador DMY-2030-TOT-LIGHY da efluente final,,TRANSMISSOR TOTALIZADOR - controlador DMY-2030-TOT-LIGHY da efluente final - MOENDA,2017-01-01 00:00:00.000054,2017-01-01 00:00:00.000054,17,185,1,1
56,BOMBA PNEUMATICA - Bomba de coleta da efluente final,,BOMBA PNEUMATICA - Bomba de coleta da efluente final - MOENDA,2017-01-01 00:00:00.000055,2017-01-01 00:00:00.000055,29,185,1,1
57,CALHA DE VAZÃO - Calha parshal da  efluente final,,CALHA DE VAZÃO - Calha parshal da  efluente final - MOENDA,2017-01-01 00:00:00.000056,2017-01-01 00:00:00.000056,15,185,1,1
58,FONTE - PS-AC-R,,FONTE - PS-AC-R - MOENDA,2017-01-01 00:00:00.000057,2017-01-01 00:00:00.000057,30,124,1,1
59,CPU - CPU-700-E3,,CPU - CPU-700-E3 - MOENDA,2017-01-01 00:00:00.000058,2017-01-01 00:00:00.000058,28,124,1,1
60,REMOTA  - ENET-710,,REMOTA  - ENET-710 - MOENDA,2017-01-01 00:00:00.000059,2017-01-01 00:00:00.000059,6,124,1,1
61,CPU - ETHERNET/IP,,CPU - ETHERNET/IP - MOENDA,2017-01-01 00:00:00.000060,2017-01-01 00:00:00.000060,5,124,1,1
62,SWITICH - SWITCH ETHERNET,,SWITICH - SWITCH ETHERNET - MOENDA,2017-01-01 00:00:00.000061,2017-01-01 00:00:00.000061,33,124,1,1
